曲名,歌手名,ユーザー,スコア,日付
シャッター,優里,まつりく,84.632,2024/02/09 18:43:34
チェリー(生音),スピッツ,まつりく,82.762,2024/02/09 18:53:33
美しい鰭(生音),スピッツ,まつりく,84.680,2024/02/09 19:01:58
シングルベッド,シャ乱Q,まつりく,84.738,2024/02/09 19:12:58
聖槍爆裂ボーイ,れるりり/もじゃ feat.鏡音レン,まつりく,85.175,2024/02/09 19:23:08
脳漿炸裂ガール,れるりり feat.初音ミク&GUMI,まつりく,83.001,2024/02/09 19:32:04
レオ,優里,まつりく,84.554,2024/02/09 19:42:21
I'm a mess,MY FIRST STORY,まつりく,80.303,2024/02/09 19:48:05
I'm a mess,MY FIRST STORY,まつりく,82.746,2024/02/09 19:53:26
Pretender,Official髭男dism,まつりく,86.480,2024/02/09 19:59:15
Pretender,Official髭男dism,まつりく,86.602,2024/02/09 20:04:56
晩餐歌,tuki.,まつりく,85.515,2024/02/09 20:13:46
ケセラセラ,Mrs. GREEN APPLE,まつりく,80.908,2024/02/09 20:39:08
瞬き(生音),back number,まつりく,86.171,2024/02/09 20:46:43
脳漿炸裂ガール,れるりり feat.初音ミク&GUMI,まつりく,86.004,2024/02/13 14:19:30
聖槍爆裂ボーイ,れるりり/もじゃ feat.鏡音レン,まつりく,83.740,2024/02/13 14:28:52
GONG,WANIMA,まつりく,87.770,2024/02/13 14:37:35
シグナル,WANIMA,まつりく,87.190,2024/02/13 14:47:19
明日への手紙,手嶌 葵,まつりく,90.756,2024/02/13 14:56:56
友  ～旅立ちの時～,ゆず,まつりく,85.282,2024/02/13 15:08:08
ともに,WANIMA,まつりく,84.942,2024/02/13 15:18:05
シングルベッド,シャ乱Q,まつりく,88.369,2024/02/13 15:26:07
冬と春,back number,まつりく,82.015,2024/02/13 15:37:09
ヒロイン,back number,まつりく,87.004,2024/02/13 15:47:02
花束,back number,まつりく,86.261,2024/02/13 15:56:16
恋 (プロオケ)(生音),back number,まつりく,86.502,2024/02/13 16:06:14
