日付,リクエストNo,曲名,歌手名,総合得点,素点,ボーナス点,Ai感性,チャート合計,音程,安定性,表現力,リズム,ビブラート&ロングトーン,抑揚,しゃくり,こぶし,フォール,ロングトーン,ビブラート,ビブラート秒数,ビブラート回数,ビブラートタイプ,アクセント,ハンマリング,エッジボイス,ヒーカップ,Ai加点,Ai減点,キー,最高音（音域）,最低音（音域）,最高音（声域）,最低音（声域）
2024/02/09 18:43:34,6945-51,"シャッター","優里",84.632,83.811,0.821,52,364,78,65,31,99,91,39,10,0,0,7,8,3.4,7,A-1,0,0,0,0,52,0,0,hiA#,mid1C,mid2G,mid1C
2024/02/09 18:53:33,4037-18,"チェリー(生音)","スピッツ",82.762,81.945,0.817,51,334,78,49,29,97,81,40,14,3,0,5,6,11.4,31,A-1,0,0,0,0,51,0,0,hiA#,mid1D,mid2D,mid1D
2024/02/09 19:01:58,4663-39,"美しい鰭(生音)","スピッツ",84.680,83.866,0.814,51,337,80,70,30,99,58,42,8,0,1,6,0,1.6,4,A-1,0,0,0,0,51,0,0,hiC#,mid1F,hiC#,mid1F
2024/02/09 19:12:58,2975-03,"シングルベッド","シャ乱Q",84.738,83.866,0.872,57,368,78,68,38,99,85,40,31,4,1,6,6,7.8,24,A-1,0,0,0,0,57,0,0,mid2G,mid1C,mid2F,mid1C
2024/02/09 19:23:08,7628-73,"聖槍爆裂ボーイ","れるりり/もじゃ feat.鏡音レン",85.175,84.372,0.803,50,364,79,78,21,99,87,32,9,5,0,9,4,2.0,5,G,0,0,0,0,50,0,0,hiD#,mid2A,hiC,mid2A
2024/02/09 19:32:04,7621-54,"脳漿炸裂ガール","れるりり feat.初音ミク&GUMI",83.001,82.194,0.807,50,341,80,77,22,83,79,32,1,1,0,9,0,1.6,4,D,0,0,0,0,50,0,0,hiD#,mid2C,hiB,mid2C
2024/02/09 19:42:21,1307-09,"レオ","優里",84.554,83.732,0.822,52,352,80,58,34,99,81,46,8,1,0,6,5,1.9,6,G,0,0,0,0,52,0,0,hiC,mid1C,mid2G,mid1C
2024/02/09 19:48:05,3238-91,"I'm a mess","MY FIRST STORY",80.303,79.471,0.832,53,373,72,73,53,94,81,69,19,8,0,8,3,3.7,11,A-1,0,0,0,0,54,12,0,hiB,mid1D,mid2F#,mid1D
2024/02/09 19:53:26,3238-91,"I'm a mess","MY FIRST STORY",82.746,80.821,1.925,63,366,77,66,59,86,78,67,4,18,0,6,4,2.8,9,D,0,0,0,0,64,11,0,hiB,mid1D,mid2F#,mid1D
2024/02/09 19:59:15,6195-98,"Pretender","Official髭男dism",86.480,85.662,0.818,51,398,78,85,51,99,85,69,14,5,0,7,5,6.9,23,D,0,0,0,0,51,0,0,hiC#,mid1D#,hiC#,mid1D#
2024/02/09 20:04:56,6195-98,"Pretender","Official髭男dism",86.602,84.849,1.753,62,383,79,67,61,92,84,72,9,20,0,7,5,4.7,15,A-1,0,0,0,0,63,9,0,hiC#,mid1D#,hiA#,mid1D#
2024/02/09 20:13:46,5476-97,"晩餐歌","tuki.",85.515,84.704,0.811,51,390,78,77,50,96,89,65,9,1,0,8,6,1.9,5,G,0,0,0,0,51,1,0,hiF#,mid1G#,hiA,mid1G#
2024/02/09 20:39:08,1314-68,"ケセラセラ","Mrs. GREEN APPLE",80.908,80.048,0.860,56,387,71,81,62,96,77,84,12,2,0,5,4,3.1,10,A-1,0,0,0,0,56,2,0,hiF,mid1D#,mid2G,mid1D#
2024/02/09 20:46:43,5859-55,"瞬き(生音)","back number",86.171,85.264,0.907,60,400,77,74,64,98,87,83,20,1,0,7,6,3.9,10,A-1,0,0,0,0,62,20,0,hiC,mid1F,mid2G#,mid1F
2024/02/13 14:19:30,7621-54,"脳漿炸裂ガール","れるりり feat.初音ミク&GUMI",86.004,85.191,0.813,51,383,80,75,59,82,87,84,2,1,0,9,4,1.8,5,G,0,0,0,0,52,21,0,hiD#,mid2C,hiC#,mid2C
2024/02/13 14:28:52,7628-73,"聖槍爆裂ボーイ","れるりり/もじゃ feat.鏡音レン",83.740,82.890,0.850,55,355,77,56,58,96,68,79,6,4,0,3,4,3.3,11,D,0,0,0,0,55,1,0,hiD#,mid2A,hiB,mid2A
2024/02/13 14:37:35,1104-88,"GONG","WANIMA",87.770,86.903,0.867,56,399,80,75,61,99,84,81,9,4,0,7,5,6.4,22,A-1,0,0,0,0,58,20,0,hiC#,mid1G#,hiA#,mid1G#
2024/02/13 14:47:19,1104-54,"シグナル","WANIMA",87.190,86.299,0.891,59,403,78,80,63,95,87,81,19,4,0,8,5,2.1,6,G,0,0,0,0,59,8,0,hiC#,mid1G#,hiA#,mid1G#
